word,count
tax,5
uk,5
productivity,4
reduce,4
wealth,3
policy,3
uk’s,3
raise,3
taxes,3
growth,3
data,3
social,3
gender,3
impact,3
oecd,3
prices,3
–,3
pandemic,3
revenue,3
